As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,Viewership Score
2020-06-23,1,1,-,Floor is Lava,TV Show,Yes,"Jun 19, 2020",4,40
2020-06-23,2,3,-,The Order,TV Show,Yes,"Mar 7, 2019",5,41
2020-06-24,1,1,-,Floor is Lava,TV Show,Yes,"Jun 19, 2020",5,50
2020-06-24,2,2,-,The Order,TV Show,Yes,"Mar 7, 2019",6,50
2020-06-25,1,1,-,Floor is Lava,TV Show,Yes,"Jun 19, 2020",6,60
2020-06-25,2,2,-,The Order,TV Show,Yes,"Mar 7, 2019",7,59
2020-06-26,1,1,-,Floor is Lava,TV Show,Yes,"Jun 19, 2020",7,70
2020-06-26,2,2,3,The Order,TV Show,Yes,"Mar 7, 2019",8,68
2020-06-27,1,1,1,Floor is Lava,TV Show,Yes,"Jun 19, 2020",8,80
2020-06-27,2,-,-,Eurovision Song Contest: Th…,Movie,Yes,"Jun 26, 2020",1,9
2020-06-28,1,2,-,Eurovision Song Contest: Th…,Movie,Yes,"Jun 26, 2020",2,19
2020-06-28,2,1,1,Floor is Lava,TV Show,Yes,"Jun 19, 2020",9,89
2020-06-29,1,1,-,Eurovision Song Contest: Th…,Movie,Yes,"Jun 26, 2020",3,29
2020-06-29,2,2,1,Floor is Lava,TV Show,Yes,"Jun 19, 2020",10,98
2020-06-30,1,2,1,Floor is Lava,TV Show,Yes,"Jun 19, 2020",11,108
2020-06-30,2,1,-,Eurovision Song Contest: Th…,Movie,Yes,"Jun 26, 2020",4,38
2020-07-01,1,1,1,Floor is Lava,TV Show,Yes,"Jun 19, 2020",12,118
2020-07-01,2,2,-,Eurovision Song Contest: Th…,Movie,Yes,"Jun 26, 2020",5,47
2020-07-02,1,-,-,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",1,10
2020-07-02,2,1,1,Floor is Lava,TV Show,Yes,"Jun 19, 2020",13,127
2020-07-03,1,1,-,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",2,20
2020-07-03,2,3,-,Patriots Day,Movie,,"Jul 1, 2020",2,17
2020-07-04,1,1,-,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",3,30
2020-07-04,2,4,-,Warrior Nun,TV Show,Yes,"Jul 2, 2020",2,16
2020-07-05,1,1,-,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",4,40
2020-07-05,2,2,-,Warrior Nun,TV Show,Yes,"Jul 2, 2020",3,25
2020-07-06,1,1,-,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",5,50
2020-07-06,2,2,-,Warrior Nun,TV Show,Yes,"Jul 2, 2020",4,34
2020-07-07,1,1,-,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",6,60
2020-07-07,2,2,-,Warrior Nun,TV Show,Yes,"Jul 2, 2020",5,43
2020-07-08,1,1,-,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",7,70
2020-07-08,2,2,-,Warrior Nun,TV Show,Yes,"Jul 2, 2020",6,52
2020-07-09,1,1,1,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",8,80
2020-07-09,2,2,-,Warrior Nun,TV Show,Yes,"Jul 2, 2020",7,61
2020-07-10,1,1,1,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",9,90
2020-07-10,2,3,-,Dr. Seussâ The Lorax,Movie,,"Jul 7, 2020",3,18
2020-07-11,1,-,-,The Old Guard,Movie,Yes,"Jul 10, 2020",1,10
2020-07-11,2,1,1,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",10,99
2020-07-12,1,1,-,The Old Guard,Movie,Yes,"Jul 10, 2020",2,20
2020-07-12,2,2,1,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",11,108
2020-07-13,1,1,-,The Old Guard,Movie,Yes,"Jul 10, 2020",3,30
2020-07-13,2,2,1,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",12,117
2020-07-14,1,1,-,The Old Guard,Movie,Yes,"Jul 10, 2020",4,40
2020-07-14,2,3,-,Down to Earth with Zac Efron,TV Show,Yes,"Jul 10, 2020",4,29
2020-07-15,1,1,-,The Old Guard,Movie,Yes,"Jul 10, 2020",5,50
2020-07-15,2,2,-,Down to Earth with Zac Efron,TV Show,Yes,"Jul 10, 2020",5,38
2020-07-16,1,1,-,The Old Guard,Movie,Yes,"Jul 10, 2020",6,60
2020-07-16,2,4,-,The Business of Drugs,TV Show,Yes,"Jul 14, 2020",2,16
2020-07-17,1,-,-,Fatal Affair,Movie,Yes,"Jul 16, 2020",1,10
2020-07-17,2,1,-,The Old Guard,Movie,Yes,"Jul 10, 2020",7,69
2020-07-18,1,1,-,Fatal Affair,Movie,Yes,"Jul 16, 2020",2,20
2020-07-18,2,-,-,Cursed,TV Show,Yes,"Jul 17, 2020",1,9
2020-07-19,1,2,-,Cursed,TV Show,Yes,"Jul 17, 2020",2,19
2020-07-19,2,1,-,Fatal Affair,Movie,Yes,"Jul 16, 2020",3,29
2020-07-20,1,1,-,Cursed,TV Show,Yes,"Jul 17, 2020",3,29
2020-07-20,2,2,-,Fatal Affair,Movie,Yes,"Jul 16, 2020",4,38
2020-07-21,1,1,-,Cursed,TV Show,Yes,"Jul 17, 2020",4,39
2020-07-21,2,4,-,The Last Dance,TV Show,Yes,"Jul 19, 2020",2,16
2020-07-22,1,1,-,Cursed,TV Show,Yes,"Jul 17, 2020",5,49
2020-07-22,2,2,-,The Last Dance,TV Show,Yes,"Jul 19, 2020",3,25
2020-07-23,1,1,-,Cursed,TV Show,Yes,"Jul 17, 2020",6,59
2020-07-23,2,2,-,The Last Dance,TV Show,Yes,"Jul 19, 2020",4,34
2020-07-24,1,3,-,Fear City: New York vs. The…,TV Show,Yes,"Jul 22, 2020",2,18
2020-07-24,2,1,-,Cursed,TV Show,Yes,"Jul 17, 2020",7,68
2020-07-25,1,-,-,The Kissing Booth 2,Movie,Yes,"Jul 24, 2020",1,10
2020-07-25,2,1,-,Fear City: New York vs. The…,TV Show,Yes,"Jul 22, 2020",3,27
2020-07-26,1,1,-,The Kissing Booth 2,Movie,Yes,"Jul 24, 2020",2,20
2020-07-26,2,2,-,Fear City: New York vs. The…,TV Show,Yes,"Jul 22, 2020",4,36
2020-07-27,1,1,-,The Kissing Booth 2,Movie,Yes,"Jul 24, 2020",3,30
2020-07-27,2,2,-,Fear City: New York vs. The…,TV Show,Yes,"Jul 22, 2020",5,45
2020-07-28,1,1,-,The Kissing Booth 2,Movie,Yes,"Jul 24, 2020",4,40
2020-07-28,2,5,-,Shameless,TV Show,,"Jun 30, 2016",2,15
2020-07-29,1,1,-,The Kissing Booth 2,Movie,Yes,"Jul 24, 2020",5,50
2020-07-29,2,2,-,Shameless,TV Show,,"Jun 30, 2016",3,24
2020-07-30,1,2,-,Shameless,TV Show,,"Jun 30, 2016",4,34
2020-07-30,2,1,-,The Kissing Booth 2,Movie,Yes,"Jul 24, 2020",6,59
2020-07-31,1,1,-,Shameless,TV Show,,"Jun 30, 2016",5,44
2020-07-31,2,2,-,The Kissing Booth 2,Movie,Yes,"Jul 24, 2020",7,68
2020-08-01,1,-,-,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",1,10
2020-08-01,2,1,-,Shameless,TV Show,,"Jun 30, 2016",6,53
2020-08-02,1,1,-,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",2,20
2020-08-02,2,2,-,Shameless,TV Show,,"Jun 30, 2016",7,62
2020-08-03,1,1,-,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",3,30
2020-08-03,2,2,5,Shameless,TV Show,,"Jun 30, 2016",8,71
2020-08-04,1,1,-,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",4,40
2020-08-04,2,2,2,Shameless,TV Show,,"Jun 30, 2016",9,80
2020-08-05,1,1,-,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",5,50
2020-08-05,2,2,2,Shameless,TV Show,,"Jun 30, 2016",10,89
2020-08-06,1,1,-,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",6,60
2020-08-06,2,2,1,Shameless,TV Show,,"Jun 30, 2016",11,98
2020-08-07,1,1,-,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",7,70
2020-08-07,2,3,-,Worldâs Most Wanted,TV Show,Yes,"Aug 5, 2020",2,17
2020-08-08,1,1,1,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",8,80
2020-08-08,2,2,-,Worldâs Most Wanted,TV Show,Yes,"Aug 5, 2020",3,26
2020-08-09,1,1,1,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",9,90
2020-08-09,2,2,-,Worldâs Most Wanted,TV Show,Yes,"Aug 5, 2020",4,35
2020-08-10,1,1,1,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",10,100
2020-08-10,2,2,-,Worldâs Most Wanted,TV Show,Yes,"Aug 5, 2020",5,44
2020-08-11,1,1,1,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",11,110
2020-08-11,2,-,-,The Lost Husband,Movie,,"Aug 10, 2020",1,9
2020-08-12,1,2,-,The Lost Husband,Movie,,"Aug 10, 2020",2,19
2020-08-12,2,1,1,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",12,119
2020-08-13,1,1,-,The Lost Husband,Movie,,"Aug 10, 2020",3,29
2020-08-13,2,2,1,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",13,128
2020-08-14,1,1,-,The Lost Husband,Movie,,"Aug 10, 2020",4,39
2020-08-14,2,2,1,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",14,137
2020-08-15,1,-,-,Project Power,Movie,Yes,"Aug 14, 2020",1,10
2020-08-15,2,1,-,The Lost Husband,Movie,,"Aug 10, 2020",5,48
2020-08-16,1,1,-,Project Power,Movie,Yes,"Aug 14, 2020",2,20
2020-08-16,2,5,-,The Legend of Korra,TV Show,,"Aug 14, 2020",2,15
2020-08-17,1,1,-,Project Power,Movie,Yes,"Aug 14, 2020",3,30
2020-08-17,2,2,-,The Legend of Korra,TV Show,,"Aug 14, 2020",3,24
2020-08-18,1,1,-,Project Power,Movie,Yes,"Aug 14, 2020",4,40
2020-08-18,2,2,-,The Legend of Korra,TV Show,,"Aug 14, 2020",4,33
2020-08-19,1,1,-,Project Power,Movie,Yes,"Aug 14, 2020",5,50
2020-08-19,2,2,-,The Legend of Korra,TV Show,,"Aug 14, 2020",5,42
2020-08-20,1,1,-,Project Power,Movie,Yes,"Aug 14, 2020",6,60
2020-08-20,2,2,-,The Legend of Korra,TV Show,,"Aug 14, 2020",6,51
2020-08-21,1,1,-,Project Power,Movie,Yes,"Aug 14, 2020",7,70
2020-08-21,2,2,-,The Legend of Korra,TV Show,,"Aug 14, 2020",7,60
2020-08-22,1,-,-,Lucifer,TV Show,,"Dec 15, 2018",1,10
2020-08-22,2,1,1,Project Power,Movie,Yes,"Aug 14, 2020",8,79
2020-08-23,1,1,-,Lucifer,TV Show,,"Dec 15, 2018",2,20
2020-08-23,2,2,1,Project Power,Movie,Yes,"Aug 14, 2020",9,88
2020-08-24,1,1,-,Lucifer,TV Show,,"Dec 15, 2018",3,30
2020-08-24,2,2,1,Project Power,Movie,Yes,"Aug 14, 2020",10,97
2020-08-25,1,1,-,Lucifer,TV Show,,"Dec 15, 2018",4,40
2020-08-25,2,2,1,Project Power,Movie,Yes,"Aug 14, 2020",11,106
2020-08-26,1,1,-,Lucifer,TV Show,,"Dec 15, 2018",5,50
2020-08-26,2,4,3,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",26,224
2020-08-27,1,1,-,Lucifer,TV Show,,"Dec 15, 2018",6,60
2020-08-27,2,3,-,Hoops,TV Show,Yes,"Aug 21, 2020",5,28
2020-08-28,1,1,-,Lucifer,TV Show,,"Dec 15, 2018",7,70
2020-08-28,2,5,-,Million Dollar Beach House,TV Show,Yes,"Aug 26, 2020",2,15
2020-08-29,1,-,-,Cobra Kai,TV Show,,"Aug 28, 2020",1,10
2020-08-29,2,1,1,Lucifer,TV Show,,"Dec 15, 2018",8,79
2020-08-30,1,1,-,Cobra Kai,TV Show,,"Aug 28, 2020",2,20
2020-08-30,2,2,1,Lucifer,TV Show,,"Dec 15, 2018",9,88
2020-08-31,1,1,-,Cobra Kai,TV Show,,"Aug 28, 2020",3,30
2020-08-31,2,5,-,The Frozen Ground,Movie,,"Aug 27, 2020",2,15
2020-09-01,1,1,-,Cobra Kai,TV Show,,"Aug 28, 2020",4,40
2020-09-01,2,2,-,The Frozen Ground,Movie,,"Aug 27, 2020",3,24
2020-09-02,1,1,-,Cobra Kai,TV Show,,"Aug 28, 2020",5,50
2020-09-02,2,-,-,The Smurfs,Movie,,"Sep 1, 2020",1,9
2020-09-03,1,1,-,Cobra Kai,TV Show,,"Aug 28, 2020",6,60
